sum = 488117
nV = 500
1 397 -5942
228 397 -7927
228 386 -9013
343 397 -7570
293 343 -8657
159 397 -7157
159 335 -8205
159 160 -7839
19 335 -7787
19 328 -8231
343 488 -6842
167 488 -9090
167 312 -6573
312 474 -8920
368 474 -7991
368 369 -8888
98 368 -7792
474 475 -7052
464 475 -9291
267 464 -7760
260 267 -9134
267 268 -8907
63 267 -8209
62 63 -9504
267 408 -7695
260 479 -7629
62 173 -7617
172 173 -9697
172 211 -8557
173 428 -8093
179 428 -8340
2 173 -7751
2 3 -8874
3 144 -9056
3 91 -8754
2 104 -8744
104 223 -7868
211 443 -7502
443 444 -8151
442 443 -7558
441 442 -9851
384 442 -9312
442 454 -7877
103 454 -9992
103 221 -9998
366 454 -9405
366 432 -9909
285 366 -9502
454 489 -9298
360 489 -9515
489 490 -9312
365 366 -9219
15 365 -9352
206 432 -8822
100 365 -8596
133 365 -8417
15 220 -8415
135 220 -9436
103 352 -8013
276 432 -7970
276 476 -9556
398 476 -8221
398 481 -9932
398 450 -9491
371 398 -9477
323 398 -9158
398 399 -8532
102 398 -8299
102 387 -9849
102 183 -8982
41 183 -9848
332 352 -7936
103 272 -7824
272 496 -7845
221 222 -7797
15 16 -7753
26 366 -7642
100 202 -7606
201 202 -8731
45 202 -8727
45 304 -9980
138 304 -9806
138 269 -9121
138 431 -8652
202 203 -8100
203 406 -9424
83 203 -8557
83 340 -8417
307 340 -8967
258 340 -7890
226 258 -9022
149 226 -9402
87 226 -9223
87 122 -8824
122 259 -7997
136 259 -9993
307 354 -7654
284 354 -9097
128 354 -9071
128 412 -9322
310 431 -7614
310 341 -9066
230 341 -9152
230 315 -9532
225 315 -9440
35 225 -9215
310 311 -8711
310 315 -8266
283 398 -7542
283 469 -9907
82 469 -9808
282 283 -9803
282 349 -9869
281 282 -8850
422 469 -8414
75 422 -9088
469 470 -8102
313 470 -9447
373 470 -8502
120 373 -9213
117 313 -8467
117 118 -9012
82 94 -7789
94 447 -8934
447 448 -9184
257 448 -9484
93 94 -8183
65 470 -7730
65 232 -9315
153 469 -7547
72 153 -9242
72 212 -8966
212 286 -9917
286 287 -9632
287 288 -9903
430 431 -7532
65 109 -7488
100 291 -7435
291 437 -8494
258 259 -7340
122 305 -7289
155 305 -8235
83 308 -7277
308 389 -8415
389 411 -7853
281 291 -7273
61 83 -7267
29 61 -9929
61 88 -8574
88 453 -8693
317 453 -9333
327 453 -8709
51 327 -9020
344 453 -8302
300 344 -8409
300 495 -8315
157 300 -8234
124 157 -8496
123 124 -8728
344 356 -7281
356 466 -8140
229 356 -7955
208 466 -7370
126 466 -7322
126 139 -8639
126 401 -8102
401 480 -8775
2 309 -7230
309 346 -9056
195 346 -9407
195 196 -9529
316 317 -7213
16 275 -7206
238 275 -7472
238 239 -9874
239 391 -9266
146 238 -9222
111 146 -9966
52 238 -8566
52 163 -9821
52 185 -8731
421 422 -7189
421 435 -8158
435 436 -7818
195 431 -7120
191 476 -7120
22 63 -7119
22 101 -9660
22 156 -9282
31 156 -9373
30 31 -9951
30 324 -9689
31 107 -9611
22 85 -9225
31 32 -8643
156 486 -8359
147 156 -8069
147 148 -9587
137 147 -8845
64 148 -7784
137 491 -7463
217 491 -9531
296 491 -7492
85 363 -7094
132 363 -7224
110 132 -8834
132 216 -7717
131 132 -7293
131 204 -8867
204 467 -8510
131 322 -8494
76 467 -8172
118 348 -7076
22 208 -7025
212 264 -7012
264 265 -8596
26 260 -6981
453 454 -6950
365 426 -6930
425 426 -8875
219 220 -6876
14 219 -9493
153 498 -6845
329 498 -9021
329 330 -9595
498 499 -6861
301 499 -7760
33 301 -7033
366 382 -6765
121 382 -8779
338 382 -8645
338 339 -9443
169 338 -8967
34 169 -9727
169 449 -7246
251 449 -7320
294 449 -7189
175 339 -7008
175 176 -9786
176 177 -9636
11 176 -9470
174 175 -8677
175 205 -8284
11 12 -6736
12 13 -7604
13 24 -9600
360 459 -6735
458 459 -9068
28 458 -9550
106 459 -7473
249 458 -6860
27 28 -6775
99 223 -6699
83 445 -6696
445 446 -9813
283 294 -6687
91 269 -6675
136 239 -6675
371 432 -6670
237 268 -6651
130 237 -9047
299 412 -6638
185 359 -6637
97 147 -6620
97 485 -9789
96 97 -9266
97 388 -7687
38 388 -7439
95 96 -6715
84 95 -7979
175 365 -6619
109 221 -6611
88 477 -6582
46 259 -6561
46 214 -8927
214 215 -7142
56 475 -6542
69 265 -6541
62 235 -6507
235 413 -8868
99 239 -6488
124 125 -6474
86 219 -6473
86 213 -7043
316 476 -6467
151 185 -6430
151 261 -7835
52 128 -6427
45 353 -6425
232 312 -6425
196 266 -6390
104 191 -6384
236 421 -6331
203 374 -6327
374 375 -7986
375 492 -6444
79 492 -9964
39 122 -6276
209 267 -6273
90 110 -6267
94 174 -6255
286 500 -6235
64 65 -6230
323 324 -6212
138 267 -6204
341 458 -6180
264 371 -6151
219 485 -6143
315 366 -6131
314 477 -6120
314 455 -9700
26 226 -6114
266 411 -6081
204 231 -6073
4 82 -6069
4 364 -8897
241 444 -6059
241 242 -8966
46 47 -6059
348 349 -6018
126 393 -6017
392 393 -8912
130 231 -6013
38 373 -6005
118 165 -5992
165 248 -7477
248 482 -6116
482 483 -9453
163 164 -5987
373 374 -5983
8 124 -5969
7 8 -7507
76 235 -5966
234 235 -5961
233 234 -8309
233 263 -8107
233 277 -7785
277 278 -6763
198 234 -6093
186 198 -9486
198 200 -7410
198 252 -6392
197 198 -6105
44 197 -7215
116 197 -6213
116 145 -9135
43 44 -6198
43 154 -9305
154 190 -7567
238 369 -5942
260 496 -5938
277 453 -5936
153 300 -5928
122 123 -5925
19 367 -5912
253 436 -5911
104 266 -5909
112 496 -5901
175 307 -5851
34 35 -5829
130 465 -5821
172 322 -5817
249 325 -5814
270 325 -6345
81 106 -5778
299 479 -5738
345 425 -5731
34 456 -5727
230 276 -5718
175 393 -5717
334 411 -5706
460 492 -5705
143 460 -8069
142 143 -7750
243 460 -7045
168 399 -5704
288 289 -5683
289 297 -5802
433 482 -5668
18 433 -9810
433 434 -8966
192 433 -6813
400 433 -6294
162 433 -5687
264 351 -5652
121 182 -5624
182 193 -6632
193 452 -9490
452 497 -8325
36 497 -5712
